[20, 79]
(39, 18)
(2, 0) | (8, 17)
(29, 0, 1, 1)
(29, 1, 1, 1)
(1, 2, 1, 1)
(2, 2, 1, 1)
(3, 2, 1, 1)
(4, 2, 1, 1)
(5, 2, 1, 1)
(6, 2, 1, 1)
(7, 2, 1, 1)
(8, 2, 1, 1)
(9, 2, 1, 1)
(10, 2, 1, 1)
(12, 2, 1, 1)
(13, 2, 1, 1)
(14, 2, 1, 1)
(15, 2, 1, 1)
(16, 2, 1, 1)
(17, 2, 1, 1)
(18, 2, 1, 1)
(19, 2, 1, 1)
(20, 2, 1, 1)
(21, 2, 1, 1)
(22, 2, 1, 1)
(23, 2, 1, 1)
(24, 2, 1, 1)
(25, 2, 1, 1)
(26, 2, 1, 1)
(27, 2, 1, 1)
(30, 2, 1, 1)
(31, 2, 1, 1)
(32, 2, 1, 1)
(33, 2, 1, 1)
(34, 2, 1, 1)
(35, 2, 1, 1)
(36, 2, 1, 1)
(37, 2, 1, 1)
(38, 2, 1, 1)
(39, 2, 1, 1)
(40, 2, 1, 1)
(41, 2, 1, 1)
(42, 2, 1, 1)
(43, 2, 1, 1)
(44, 2, 1, 1)
(45, 2, 1, 1)
(46, 2, 1, 1)
(47, 2, 1, 1)
(48, 2, 1, 1)
(49, 2, 1, 1)
(50, 2, 1, 1)
(51, 2, 1, 1)
(52, 2, 1, 1)
(53, 2, 1, 1)
(54, 2, 1, 1)
(55, 2, 1, 1)
(56, 2, 1, 1)
(57, 2, 1, 1)
(58, 2, 1, 1)
(59, 2, 1, 1)
(60, 2, 1, 1)
(61, 2, 1, 1)
(62, 2, 1, 1)
(63, 2, 1, 1)
(64, 2, 1, 1)
(65, 2, 1, 1)
(66, 2, 1, 1)
(67, 2, 1, 1)
(68, 2, 1, 1)
(69, 2, 1, 1)
(70, 2, 1, 1)
(71, 2, 1, 1)
(72, 2, 1, 1)
(73, 2, 1, 1)
(74, 2, 1, 1)
(75, 2, 1, 1)
(77, 2, 1, 1)
(29, 3, 1, 1)
(29, 4, 1, 1)
(0, 5, 1, 1)
(1, 5, 1, 1)
(2, 5, 1, 1)
(3, 5, 1, 1)
(4, 5, 1, 1)
(5, 5, 1, 1)
(6, 5, 1, 1)
(7, 5, 1, 1)
(8, 5, 1, 1)
(9, 5, 1, 1)
(10, 5, 1, 1)
(11, 5, 1, 1)
(12, 5, 1, 1)
(13, 5, 1, 1)
(14, 5, 1, 1)
(15, 5, 1, 1)
(16, 5, 1, 1)
(17, 5, 1, 1)
(18, 5, 1, 1)
(19, 5, 1, 1)
(21, 5, 1, 1)
(22, 5, 1, 1)
(23, 5, 1, 1)
(24, 5, 1, 1)
(25, 5, 1, 1)
(26, 5, 1, 1)
(27, 5, 1, 1)
(28, 5, 1, 1)
(29, 5, 1, 1)
(30, 5, 1, 1)
(31, 5, 1, 1)
(32, 5, 1, 1)
(33, 5, 1, 1)
(34, 5, 1, 1)
(35, 5, 1, 1)
(36, 5, 1, 1)
(37, 5, 1, 1)
(38, 5, 1, 1)
(39, 5, 1, 1)
(40, 5, 1, 1)
(41, 5, 1, 1)
(42, 5, 1, 1)
(43, 5, 1, 1)
(44, 5, 1, 1)
(45, 5, 1, 1)
(46, 5, 1, 1)
(47, 5, 1, 1)
(48, 5, 1, 1)
(49, 5, 1, 1)
(50, 5, 1, 1)
(51, 5, 1, 1)
(52, 5, 1, 1)
(53, 5, 1, 1)
(54, 5, 1, 1)
(55, 5, 1, 1)
(56, 5, 1, 1)
(57, 5, 1, 1)
(58, 5, 1, 1)
(59, 5, 1, 1)
(60, 5, 1, 1)
(61, 5, 1, 1)
