[31, 65]
(36, 27)
(1, 6) | (4, 14)
(29, 1, 1, 1)
(1, 2, 1, 1)
(2, 2, 1, 1)
(3, 2, 1, 1)
(4, 2, 1, 1)
(5, 2, 1, 1)
(6, 2, 1, 1)
(7, 2, 1, 1)
(8, 2, 1, 1)
(9, 2, 1, 1)
(10, 2, 1, 1)
(11, 2, 1, 1)
(12, 2, 1, 1)
(13, 2, 1, 1)
(14, 2, 1, 1)
(15, 2, 1, 1)
(16, 2, 1, 1)
(17, 2, 1, 1)
(18, 2, 1, 1)
(19, 2, 1, 1)
(20, 2, 1, 1)
(22, 2, 1, 1)
(23, 2, 1, 1)
(24, 2, 1, 1)
(25, 2, 1, 1)
(26, 2, 1, 1)
(27, 2, 1, 1)
(29, 2, 1, 1)
(30, 2, 1, 1)
(31, 2, 1, 1)
(32, 2, 1, 1)
(33, 2, 1, 1)
(34, 2, 1, 1)
(35, 2, 1, 1)
(36, 2, 1, 1)
(37, 2, 1, 1)
(38, 2, 1, 1)
(39, 2, 1, 1)
(40, 2, 1, 1)
(41, 2, 1, 1)
(42, 2, 1, 1)
(43, 2, 1, 1)
(45, 2, 1, 1)
(46, 2, 1, 1)
(47, 2, 1, 1)
(48, 2, 1, 1)
(49, 2, 1, 1)
(50, 2, 1, 1)
(51, 2, 1, 1)
(52, 2, 1, 1)
(53, 2, 1, 1)
(54, 2, 1, 1)
(55, 2, 1, 1)
(56, 2, 1, 1)
(57, 2, 1, 1)
(58, 2, 1, 1)
(59, 2, 1, 1)
(60, 2, 1, 1)
(61, 2, 1, 1)
(62, 2, 1, 1)
(63, 2, 1, 1)
(29, 3, 1, 1)
(55, 3, 1, 1)
(29, 4, 1, 1)
(0, 5, 1, 1)
(1, 5, 1, 1)
(2, 5, 1, 1)
(3, 5, 1, 1)
(4, 5, 1, 1)
(5, 5, 1, 1)
(6, 5, 1, 1)
(7, 5, 1, 1)
(9, 5, 1, 1)
(10, 5, 1, 1)
(11, 5, 1, 1)
(12, 5, 1, 1)
(13, 5, 1, 1)
(14, 5, 1, 1)
(15, 5, 1, 1)
(16, 5, 1, 1)
(17, 5, 1, 1)
(18, 5, 1, 1)
(19, 5, 1, 1)
(20, 5, 1, 1)
(21, 5, 1, 1)
(22, 5, 1, 1)
(23, 5, 1, 1)
(24, 5, 1, 1)
(25, 5, 1, 1)
(26, 5, 1, 1)
(27, 5, 1, 1)
(28, 5, 1, 1)
(29, 5, 1, 1)
(30, 5, 1, 1)
(31, 5, 1, 1)
(32, 5, 1, 1)
(33, 5, 1, 1)
(34, 5, 1, 1)
(35, 5, 1, 1)
(36, 5, 1, 1)
(37, 5, 1, 1)
(38, 5, 1, 1)
(39, 5, 1, 1)
(40, 5, 1, 1)
(41, 5, 1, 1)
(42, 5, 1, 1)
(43, 5, 1, 1)
(44, 5, 1, 1)
(45, 5, 1, 1)
(46, 5, 1, 1)
(47, 5, 1, 1)
(48, 5, 1, 1)
(49, 5, 1, 1)
(51, 5, 1, 1)
(52, 5, 1, 1)
(53, 5, 1, 1)
(54, 5, 1, 1)
(55, 5, 1, 1)
(56, 5, 1, 1)
(57, 5, 1, 1)
(58, 5, 1, 1)
(59, 5, 1, 1)
(60, 5, 1, 1)
(61, 5, 1, 1)
(62, 5, 1, 1)
(63, 5, 1, 1)
(64, 5, 1, 1)
(8, 6, 1, 1)
(29, 6, 1, 1)
(41, 6, 1, 1)
(3, 7, 1, 1)
(8, 7, 1, 1)
(18, 7, 1, 1)
(29, 7, 1, 1)
(30, 7, 1, 1)
(31, 7, 1, 1)
(32, 7, 1, 1)
(33, 7, 1, 1)
(35, 7, 1, 1)
(36, 7, 1, 1)
(37, 7, 1, 1)
(38, 7, 1, 1)
(39, 7, 1, 1)
(40, 7, 1, 1)
(41, 7, 1, 1)
(42, 7, 1, 1)
(43, 7, 1, 1)
(44, 7, 1, 1)
(45, 7, 1, 1)
(47, 7, 1, 1)
(48, 7, 1, 1)
(49, 7, 1, 1)
(50, 7, 1, 1)
(51, 7, 1, 1)
(52, 7, 1, 1)
(53, 7, 1, 1)
(54, 7, 1, 1)
(55, 7, 1, 1)
(56, 7, 1, 1)
(57, 7, 1, 1)
(58, 7, 1, 1)
(59, 7, 1, 1)
(60, 7, 1, 1)
(61, 7, 1, 1)
(62, 7, 1, 1)
(63, 7, 1, 1)
(3, 8, 1, 1)
(5, 8, 1, 1)
(8, 8, 1, 1)
(11, 8, 1, 1)
(18, 8, 1, 1)
(22, 8, 1, 1)
(29, 8, 1, 1)
(41, 8, 1, 1)
(43, 8, 1, 1)
(3, 9, 1, 1)
(5, 9, 1, 1)
(8, 9, 1, 1)
(11, 9, 1, 1)
(18, 9, 1, 1)
(22, 9, 1, 1)
(29, 9, 1, 1)
(33, 9, 1, 1)
(38, 9, 1, 1)
(41, 9, 1, 1)
(43, 9, 1, 1)
(59, 9, 1, 1)
(3, 10, 1, 1)
(8, 10, 1, 1)
(11, 10, 1, 1)
(13, 10, 1, 1)
(18, 10, 1, 1)
(24, 10, 1, 1)
(29, 10, 1, 1)
(33, 10, 1, 1)
(35, 10, 1, 1)
(36, 10, 1, 1)
(38, 10, 1, 1)
(41, 10, 1, 1)
(43, 10, 1, 1)
(59, 10, 1, 1)
(5, 11, 1, 1)
(8, 11, 1, 1)
(11, 11, 1, 1)
(13, 11, 1, 1)
(18, 11, 1, 1)
(22, 11, 1, 1)
(24, 11, 1, 1)
(29, 11, 1, 1)
(38, 11, 1, 1)
(41, 11, 1, 1)
(43, 11, 1, 1)
(46, 11, 1, 1)
(59, 11, 1, 1)
(3, 12, 1, 1)
(5, 12, 1, 1)
(8, 12, 1, 1)
(13, 12, 1, 1)
(14, 12, 1, 1)
(15, 12, 1, 1)
(18, 12, 1, 1)
(22, 12, 1, 1)
(24, 12, 1, 1)
(29, 12, 1, 1)
(33, 12, 1, 1)
(35, 12, 1, 1)
(38, 12, 1, 1)
(41, 12, 1, 1)
(43, 12, 1, 1)
(46, 12, 1, 1)
(47, 12, 1, 1)
(48, 12, 1, 1)
(50, 12, 1, 1)
(51, 12, 1, 1)
(52, 12, 1, 1)
(53, 12, 1, 1)
(54, 12, 1, 1)
(55, 12, 1, 1)
(56, 12, 1, 1)
(59, 12, 1, 1)
(3, 13, 1, 1)
(5, 13, 1, 1)
(8, 13, 1, 1)
(11, 13, 1, 1)
(18, 13, 1, 1)
(22, 13, 1, 1)
(24, 13, 1, 1)
(29, 13, 1, 1)
(33, 13, 1, 1)
(35, 13, 1, 1)
(38, 13, 1, 1)
(41, 13, 1, 1)
(43, 13, 1, 1)
(46, 13, 1, 1)
(56, 13, 1, 1)
(59, 13, 1, 1)
(3, 14, 1, 1)
(5, 14, 1, 1)
(11, 14, 1, 1)
(18, 14, 1, 1)
(22, 14, 1, 1)
(24, 14, 1, 1)
(29, 14, 1, 1)
(33, 14, 1, 1)
(35, 14, 1, 1)
(38, 14, 1, 1)
(46, 14, 1, 1)
(59, 14, 1, 1)
(3, 15, 1, 1)
(5, 15, 1, 1)
(8, 15, 1, 1)
(11, 15, 1, 1)
(12, 15, 1, 1)
(13, 15, 1, 1)
(14, 15, 1, 1)
(15, 15, 1, 1)
(16, 15, 1, 1)
(18, 15, 1, 1)
(22, 15, 1, 1)
(24, 15, 1, 1)
(29, 15, 1, 1)
(33, 15, 1, 1)
(35, 15, 1, 1)
(38, 15, 1, 1)
(41, 15, 1, 1)
(43, 15, 1, 1)
(46, 15, 1, 1)
(47, 15, 1, 1)
(48, 15, 1, 1)
(49, 15, 1, 1)
(50, 15, 1, 1)
(51, 15, 1, 1)
(52, 15, 1, 1)
(53, 15, 1, 1)
(54, 15, 1, 1)
(55, 15, 1, 1)
(56, 15, 1, 1)
(3, 16, 1, 1)
(5, 16, 1, 1)
(8, 16, 1, 1)
(11, 16, 1, 1)
(18, 16, 1, 1)
(22, 16, 1, 1)
(29, 16, 1, 1)
(33, 16, 1, 1)
(35, 16, 1, 1)
(38, 16, 1, 1)
(41, 16, 1, 1)
(43, 16, 1, 1)
(46, 16, 1, 1)
(59, 16, 1, 1)
(3, 17, 1, 1)
(8, 17, 1, 1)
(11, 17, 1, 1)
(12, 17, 1, 1)
(13, 17, 1, 1)
(15, 17, 1, 1)
(18, 17, 1, 1)
(20, 17, 1, 1)
(22, 17, 1, 1)
(23, 17, 1, 1)
(24, 17, 1, 1)
(25, 17, 1, 1)
(29, 17, 1, 1)
(33, 17, 1, 1)
(38, 17, 1, 1)
(41, 17, 1, 1)
(43, 17, 1, 1)
(59, 17, 1, 1)
(3, 18, 1, 1)
(4, 18, 1, 1)
(5, 18, 1, 1)
(6, 18, 1, 1)
(8, 18, 1, 1)
(18, 18, 1, 1)
(22, 18, 1, 1)
(29, 18, 1, 1)
(38, 18, 1, 1)
(41, 18, 1, 1)
(43, 18, 1, 1)
(44, 18, 1, 1)
(45, 18, 1, 1)
(46, 18, 1, 1)
(47, 18, 1, 1)
(48, 18, 1, 1)
(49, 18, 1, 1)
(50, 18, 1, 1)
(51, 18, 1, 1)
(52, 18, 1, 1)
(53, 18, 1, 1)
(54, 18, 1, 1)
(55, 18, 1, 1)
(56, 18, 1, 1)
(57, 18, 1, 1)
(58, 18, 1, 1)
(59, 18, 1, 1)
(61, 18, 1, 1)
(8, 19, 1, 1)
(18, 19, 1, 1)
(29, 19, 1, 1)
(31, 19, 1, 1)
(32, 19, 1, 1)
(33, 19, 1, 1)
(34, 19, 1, 1)
(36, 19, 1, 1)
(37, 19, 1, 1)
(38, 19, 1, 1)
(41, 19, 1, 1)
(43, 19, 1, 1)
(3, 20, 1, 1)
(5, 20, 1, 1)
(8, 20, 1, 1)
(9, 20, 1, 1)
(10, 20, 1, 1)
(11, 20, 1, 1)
(12, 20, 1, 1)
(13, 20, 1, 1)
(14, 20, 1, 1)
(15, 20, 1, 1)
(16, 20, 1, 1)
(18, 20, 1, 1)
(19, 20, 1, 1)
(20, 20, 1, 1)
(21, 20, 1, 1)
(22, 20, 1, 1)
(24, 20, 1, 1)
(25, 20, 1, 1)
(26, 20, 1, 1)
(29, 20, 1, 1)
(38, 20, 1, 1)
(41, 20, 1, 1)
(43, 20, 1, 1)
(45, 20, 1, 1)
(46, 20, 1, 1)
(47, 20, 1, 1)
(48, 20, 1, 1)
(49, 20, 1, 1)
(50, 20, 1, 1)
(51, 20, 1, 1)
(52, 20, 1, 1)
(53, 20, 1, 1)
(54, 20, 1, 1)
(56, 20, 1, 1)
(57, 20, 1, 1)
(59, 20, 1, 1)
(3, 21, 1, 1)
(8, 21, 1, 1)
(29, 21, 1, 1)
(35, 21, 1, 1)
(38, 21, 1, 1)
(41, 21, 1, 1)
(43, 21, 1, 1)
(59, 21, 1, 1)
(8, 22, 1, 1)
(29, 22, 1, 1)
(35, 22, 1, 1)
(38, 22, 1, 1)
(41, 22, 1, 1)
(43, 22, 1, 1)
(1, 23, 1, 1)
(2, 23, 1, 1)
(3, 23, 1, 1)
(4, 23, 1, 1)
(5, 23, 1, 1)
(6, 23, 1, 1)
(7, 23, 1, 1)
(8, 23, 1, 1)
(9, 23, 1, 1)
(10, 23, 1, 1)
(12, 23, 1, 1)
(13, 23, 1, 1)
(14, 23, 1, 1)
(15, 23, 1, 1)
(16, 23, 1, 1)
(17, 23, 1, 1)
(18, 23, 1, 1)
(19, 23, 1, 1)
(20, 23, 1, 1)
(21, 23, 1, 1)
(22, 23, 1, 1)
(23, 23, 1, 1)
(24, 23, 1, 1)
(25, 23, 1, 1)
(26, 23, 1, 1)
(27, 23, 1, 1)
(29, 23, 1, 1)
(35, 23, 1, 1)
(38, 23, 1, 1)
(41, 23, 1, 1)
(43, 23, 1, 1)
(44, 23, 1, 1)
(45, 23, 1, 1)
(46, 23, 1, 1)
(47, 23, 1, 1)
(48, 23, 1, 1)
(49, 23, 1, 1)
(50, 23, 1, 1)
(51, 23, 1, 1)
(52, 23, 1, 1)
(53, 23, 1, 1)
(54, 23, 1, 1)
(55, 23, 1, 1)
(56, 23, 1, 1)
(57, 23, 1, 1)
(58, 23, 1, 1)
(59, 23, 1, 1)
(60, 23, 1, 1)
(61, 23, 1, 1)
(62, 23, 1, 1)
(29, 24, 1, 1)
(35, 24, 1, 1)
(38, 24, 1, 1)
(41, 24, 1, 1)
(43, 24, 1, 1)
(3, 25, 1, 1)
(4, 25, 1, 1)
(5, 25, 1, 1)
(6, 25, 1, 1)
(8, 25, 1, 1)
(9, 25, 1, 1)
(10, 25, 1, 1)
(11, 25, 1, 1)
(12, 25, 1, 1)
(13, 25, 1, 1)
(14, 25, 1, 1)
(15, 25, 1, 1)
(16, 25, 1, 1)
(17, 25, 1, 1)
(18, 25, 1, 1)
(19, 25, 1, 1)
(20, 25, 1, 1)
(21, 25, 1, 1)
(22, 25, 1, 1)
(23, 25, 1, 1)
(24, 25, 1, 1)
(26, 25, 1, 1)
(29, 25, 1, 1)
(33, 25, 1, 1)
(34, 25, 1, 1)
(35, 25, 1, 1)
(38, 25, 1, 1)
(41, 25, 1, 1)
(43, 25, 1, 1)
(45, 25, 1, 1)
(46, 25, 1, 1)
(47, 25, 1, 1)
(48, 25, 1, 1)
(49, 25, 1, 1)
(50, 25, 1, 1)
(51, 25, 1, 1)
(52, 25, 1, 1)
(53, 25, 1, 1)
(54, 25, 1, 1)
(55, 25, 1, 1)
(56, 25, 1, 1)
(57, 25, 1, 1)
(58, 25, 1, 1)
(59, 25, 1, 1)
(60, 25, 1, 1)
(61, 25, 1, 1)
(3, 26, 1, 1)
(8, 26, 1, 1)
(29, 26, 1, 1)
(35, 26, 1, 1)
(38, 26, 1, 1)
(41, 26, 1, 1)
(3, 27, 1, 1)
(5, 27, 1, 1)
(8, 27, 1, 1)
(11, 27, 1, 1)
(12, 27, 1, 1)
(13, 27, 1, 1)
(14, 27, 1, 1)
