[28, 77]
(17, 3)
(32, 17) | (39, 4)
(45, 0, 1, 1)
(20, 1, 1, 1)
(45, 1, 1, 1)
(20, 2, 1, 1)
(45, 2, 1, 1)
(46, 2, 1, 1)
(47, 2, 1, 1)
(48, 2, 1, 1)
(49, 2, 1, 1)
(50, 2, 1, 1)
(51, 2, 1, 1)
(52, 2, 1, 1)
(53, 2, 1, 1)
(55, 2, 1, 1)
(56, 2, 1, 1)
(57, 2, 1, 1)
(58, 2, 1, 1)
(59, 2, 1, 1)
(60, 2, 1, 1)
(61, 2, 1, 1)
(62, 2, 1, 1)
(63, 2, 1, 1)
(64, 2, 1, 1)
(65, 2, 1, 1)
(66, 2, 1, 1)
(67, 2, 1, 1)
(68, 2, 1, 1)
(69, 2, 1, 1)
(70, 2, 1, 1)
(71, 2, 1, 1)
(72, 2, 1, 1)
(73, 2, 1, 1)
(74, 2, 1, 1)
(75, 2, 1, 1)
(45, 3, 1, 1)
(48, 3, 1, 1)
(2, 4, 1, 1)
(3, 4, 1, 1)
(4, 4, 1, 1)
(5, 4, 1, 1)
(6, 4, 1, 1)
(7, 4, 1, 1)
(8, 4, 1, 1)
(9, 4, 1, 1)
(10, 4, 1, 1)
(11, 4, 1, 1)
(12, 4, 1, 1)
(13, 4, 1, 1)
(14, 4, 1, 1)
(15, 4, 1, 1)
(16, 4, 1, 1)
(17, 4, 1, 1)
(18, 4, 1, 1)
(19, 4, 1, 1)
(20, 4, 1, 1)
(21, 4, 1, 1)
(22, 4, 1, 1)
(23, 4, 1, 1)
(24, 4, 1, 1)
(25, 4, 1, 1)
(26, 4, 1, 1)
(27, 4, 1, 1)
(28, 4, 1, 1)
(29, 4, 1, 1)
(30, 4, 1, 1)
(31, 4, 1, 1)
(32, 4, 1, 1)
(33, 4, 1, 1)
(34, 4, 1, 1)
(35, 4, 1, 1)
(36, 4, 1, 1)
(37, 4, 1, 1)
(38, 4, 1, 1)
(40, 4, 1, 1)
(41, 4, 1, 1)
(42, 4, 1, 1)
(43, 4, 1, 1)
(45, 4, 1, 1)
(48, 4, 1, 1)
(49, 4, 1, 1)
(50, 4, 1, 1)
(51, 4, 1, 1)
(52, 4, 1, 1)
(55, 4, 1, 1)
(71, 4, 1, 1)
(45, 5, 1, 1)
(55, 5, 1, 1)
(71, 5, 1, 1)
(5, 6, 1, 1)
(20, 6, 1, 1)
(21, 6, 1, 1)
(22, 6, 1, 1)
(23, 6, 1, 1)
(24, 6, 1, 1)
(25, 6, 1, 1)
(26, 6, 1, 1)
(27, 6, 1, 1)
(28, 6, 1, 1)
(29, 6, 1, 1)
(30, 6, 1, 1)
(31, 6, 1, 1)
(32, 6, 1, 1)
(33, 6, 1, 1)
(34, 6, 1, 1)
(35, 6, 1, 1)
(36, 6, 1, 1)
(37, 6, 1, 1)
(38, 6, 1, 1)
(40, 6, 1, 1)
(41, 6, 1, 1)
(42, 6, 1, 1)
(45, 6, 1, 1)
(48, 6, 1, 1)
(49, 6, 1, 1)
(50, 6, 1, 1)
(52, 6, 1, 1)
(55, 6, 1, 1)
(56, 6, 1, 1)
(57, 6, 1, 1)
(58, 6, 1, 1)
(59, 6, 1, 1)
(60, 6, 1, 1)
(61, 6, 1, 1)
(63, 6, 1, 1)
(64, 6, 1, 1)
(65, 6, 1, 1)
(66, 6, 1, 1)
(67, 6, 1, 1)
(68, 6, 1, 1)
(69, 6, 1, 1)
(70, 6, 1, 1)
(71, 6, 1, 1)
(72, 6, 1, 1)
(73, 6, 1, 1)
(20, 7, 1, 1)
(45, 7, 1, 1)
(48, 7, 1, 1)
(55, 7, 1, 1)
(71, 7, 1, 1)
(3, 8, 1, 1)
(4, 8, 1, 1)
(5, 8, 1, 1)
(6, 8, 1, 1)
(7, 8, 1, 1)
(8, 8, 1, 1)
(9, 8, 1, 1)
(10, 8, 1, 1)
(11, 8, 1, 1)
(12, 8, 1, 1)
(13, 8, 1, 1)
(14, 8, 1, 1)
(15, 8, 1, 1)
(16, 8, 1, 1)
(17, 8, 1, 1)
(18, 8, 1, 1)
(20, 8, 1, 1)
(34, 8, 1, 1)
(48, 8, 1, 1)
(55, 8, 1, 1)
(71, 8, 1, 1)
(20, 9, 1, 1)
(45, 9, 1, 1)
(55, 9, 1, 1)
(0, 11, 1, 1)
(1, 11, 1, 1)
(2, 11, 1, 1)
(3, 11, 1, 1)
(4, 11, 1, 1)
(5, 11, 1, 1)
(6, 11, 1, 1)
(7, 11, 1, 1)
(8, 11, 1, 1)
(9, 11, 1, 1)
(10, 11, 1, 1)
(11, 11, 1, 1)
(12, 11, 1, 1)
(13, 11, 1, 1)
(14, 11, 1, 1)
(15, 11, 1, 1)
(16, 11, 1, 1)
(17, 11, 1, 1)
(18, 11, 1, 1)
(19, 11, 1, 1)
(20, 11, 1, 1)
(21, 11, 1, 1)
(22, 11, 1, 1)
(23, 11, 1, 1)
(24, 11, 1, 1)
(25, 11, 1, 1)
(26, 11, 1, 1)
(27, 11, 1, 1)
(28, 11, 1, 1)
(29, 11, 1, 1)
(30, 11, 1, 1)
(31, 11, 1, 1)
(32, 11, 1, 1)
(33, 11, 1, 1)
(34, 11, 1, 1)
(35, 11, 1, 1)
(36, 11, 1, 1)
