[25, 22]
(9, 0)
(18, 12) | (21, 19)
(11, 0, 1, 1)
(11, 1, 1, 1)
(13, 1, 1, 1)
(4, 2, 1, 1)
(11, 2, 1, 1)
(13, 2, 1, 1)
(17, 2, 1, 1)
(4, 3, 1, 1)
(5, 3, 1, 1)
(6, 3, 1, 1)
(8, 3, 1, 1)
(11, 3, 1, 1)
(13, 3, 1, 1)
(14, 3, 1, 1)
(15, 3, 1, 1)
(17, 3, 1, 1)
(18, 3, 1, 1)
(19, 3, 1, 1)
(4, 4, 1, 1)
(11, 4, 1, 1)
(13, 4, 1, 1)
(4, 5, 1, 1)
(6, 5, 1, 1)
(11, 5, 1, 1)
(13, 5, 1, 1)
(17, 5, 1, 1)
(4, 6, 1, 1)
(6, 6, 1, 1)
(11, 6, 1, 1)
(13, 6, 1, 1)
(17, 6, 1, 1)
(11, 7, 1, 1)
(13, 7, 1, 1)
(17, 7, 1, 1)
(1, 8, 1, 1)
(2, 8, 1, 1)
(4, 8, 1, 1)
(5, 8, 1, 1)
(6, 8, 1, 1)
(7, 8, 1, 1)
(8, 8, 1, 1)
(9, 8, 1, 1)
(13, 8, 1, 1)
(17, 8, 1, 1)
(4, 9, 1, 1)
(11, 9, 1, 1)
(13, 9, 1, 1)
(17, 9, 1, 1)
(4, 10, 1, 1)
(6, 10, 1, 1)
(7, 10, 1, 1)
(8, 10, 1, 1)
(11, 10, 1, 1)
(13, 10, 1, 1)
(17, 10, 1, 1)
(4, 11, 1, 1)
(6, 11, 1, 1)
(11, 11, 1, 1)
(13, 11, 1, 1)
(4, 12, 1, 1)
(6, 12, 1, 1)
(11, 12, 1, 1)
(13, 12, 1, 1)
(14, 12, 1, 1)
(15, 12, 1, 1)
(17, 12, 1, 1)
(19, 12, 1, 1)
(20, 12, 1, 1)
(4, 13, 1, 1)
(11, 13, 1, 1)
(4, 14, 1, 1)
(6, 14, 1, 1)
(11, 14, 1, 1)
(13, 14, 1, 1)
(14, 14, 1, 1)
(15, 14, 1, 1)
(16, 14, 1, 1)
(17, 14, 1, 1)
(19, 14, 1, 1)
(4, 15, 1, 1)
(6, 15, 1, 1)
(11, 15, 1, 1)
(13, 15, 1, 1)
(19, 15, 1, 1)
(4, 16, 1, 1)
(6, 16, 1, 1)
(11, 16, 1, 1)
(13, 16, 1, 1)
(16, 16, 1, 1)
(17, 16, 1, 1)
(19, 16, 1, 1)
(4, 17, 1, 1)
(6, 17, 1, 1)
(11, 17, 1, 1)
(13, 17, 1, 1)
(19, 17, 1, 1)
(4, 18, 1, 1)
(6, 18, 1, 1)
(11, 18, 1, 1)
(13, 18, 1, 1)
(19, 18, 1, 1)
(4, 19, 1, 1)
(11, 19, 1, 1)
(13, 19, 1, 1)
(11, 20, 1, 1)
(0, 21, 1, 1)
(1, 21, 1, 1)
(2, 21, 1, 1)
(3, 21, 1, 1)
(4, 21, 1, 1)
(5, 21, 1, 1)
(6, 21, 1, 1)
(7, 21, 1, 1)
(8, 21, 1, 1)
(9, 21, 1, 1)
(11, 21, 1, 1)
(12, 21, 1, 1)
(13, 21, 1, 1)
(14, 21, 1, 1)
(15, 21, 1, 1)
(16, 21, 1, 1)
(17, 21, 1, 1)
(18, 21, 1, 1)
(19, 21, 1, 1)
(20, 21, 1, 1)
(21, 21, 1, 1)
(2, 23, 1, 1)
(3, 23, 1, 1)
(4, 23, 1, 1)
(5, 23, 1, 1)
(6, 23, 1, 1)
(7, 23, 1, 1)
(8, 23, 1, 1)
(9, 23, 1, 1)
(11, 23, 1, 1)
(12, 23, 1, 1)
(13, 23, 1, 1)
(14, 23, 1, 1)
(15, 23, 1, 1)
(16, 23, 1, 1)
(17, 23, 1, 1)
(19, 23, 1, 1)
(20, 23, 1, 1)
(11, 24, 1, 1)
