[26, 56]
(34, 16)
(30, 6) | (32, 8)
(5, 0, 1, 1)
(2, 1, 1, 1)
(5, 1, 1, 1)
(2, 2, 1, 1)
(5, 2, 1, 1)
(41, 2, 1, 1)
(5, 3, 1, 1)
(7, 3, 1, 1)
(8, 3, 1, 1)
(10, 3, 1, 1)
(11, 3, 1, 1)
(12, 3, 1, 1)
(13, 3, 1, 1)
(14, 3, 1, 1)
(15, 3, 1, 1)
(16, 3, 1, 1)
(17, 3, 1, 1)
(18, 3, 1, 1)
(19, 3, 1, 1)
(20, 3, 1, 1)
(21, 3, 1, 1)
(22, 3, 1, 1)
(23, 3, 1, 1)
(24, 3, 1, 1)
(25, 3, 1, 1)
(26, 3, 1, 1)
(27, 3, 1, 1)
(28, 3, 1, 1)
(29, 3, 1, 1)
(30, 3, 1, 1)
(31, 3, 1, 1)
(32, 3, 1, 1)
(34, 3, 1, 1)
(35, 3, 1, 1)
(36, 3, 1, 1)
(37, 3, 1, 1)
(38, 3, 1, 1)
(39, 3, 1, 1)
(41, 3, 1, 1)
(42, 3, 1, 1)
(43, 3, 1, 1)
(44, 3, 1, 1)
(45, 3, 1, 1)
(47, 3, 1, 1)
(48, 3, 1, 1)
(49, 3, 1, 1)
(51, 3, 1, 1)
(52, 3, 1, 1)
(53, 3, 1, 1)
(2, 4, 1, 1)
(3, 4, 1, 1)
(5, 4, 1, 1)
(20, 4, 1, 1)
(41, 4, 1, 1)
(49, 4, 1, 1)
(2, 5, 1, 1)
(5, 5, 1, 1)
(41, 5, 1, 1)
(2, 6, 1, 1)
(5, 6, 1, 1)
(6, 6, 1, 1)
(7, 6, 1, 1)
(8, 6, 1, 1)
(9, 6, 1, 1)
(10, 6, 1, 1)
(11, 6, 1, 1)
(12, 6, 1, 1)
(13, 6, 1, 1)
(14, 6, 1, 1)
(15, 6, 1, 1)
(16, 6, 1, 1)
(17, 6, 1, 1)
(18, 6, 1, 1)
(19, 6, 1, 1)
(20, 6, 1, 1)
(21, 6, 1, 1)
(22, 6, 1, 1)
(23, 6, 1, 1)
(24, 6, 1, 1)
(25, 6, 1, 1)
(26, 6, 1, 1)
(27, 6, 1, 1)
(29, 6, 1, 1)
(31, 6, 1, 1)
(32, 6, 1, 1)
(33, 6, 1, 1)
(34, 6, 1, 1)
(35, 6, 1, 1)
(36, 6, 1, 1)
(37, 6, 1, 1)
(38, 6, 1, 1)
(39, 6, 1, 1)
(40, 6, 1, 1)
(41, 6, 1, 1)
(42, 6, 1, 1)
(43, 6, 1, 1)
(44, 6, 1, 1)
(45, 6, 1, 1)
(46, 6, 1, 1)
(47, 6, 1, 1)
(48, 6, 1, 1)
(49, 6, 1, 1)
(50, 6, 1, 1)
(51, 6, 1, 1)
(52, 6, 1, 1)
(53, 6, 1, 1)
(54, 6, 1, 1)
(2, 7, 1, 1)
(5, 7, 1, 1)
(41, 7, 1, 1)
(47, 7, 1, 1)
(2, 8, 1, 1)
(20, 8, 1, 1)
(41, 8, 1, 1)
(47, 8, 1, 1)
(2, 9, 1, 1)
(5, 9, 1, 1)
(20, 9, 1, 1)
(2, 10, 1, 1)
(5, 10, 1, 1)
(7, 10, 1, 1)
(8, 10, 1, 1)
(9, 10, 1, 1)
(10, 10, 1, 1)
(11, 10, 1, 1)
(12, 10, 1, 1)
(13, 10, 1, 1)
(14, 10, 1, 1)
(15, 10, 1, 1)
(16, 10, 1, 1)
(17, 10, 1, 1)
(18, 10, 1, 1)
(19, 10, 1, 1)
(20, 10, 1, 1)
(21, 10, 1, 1)
(22, 10, 1, 1)
(23, 10, 1, 1)
(24, 10, 1, 1)
(26, 10, 1, 1)
(27, 10, 1, 1)
(28, 10, 1, 1)
(29, 10, 1, 1)
(30, 10, 1, 1)
(31, 10, 1, 1)
(32, 10, 1, 1)
(33, 10, 1, 1)
(34, 10, 1, 1)
(35, 10, 1, 1)
(36, 10, 1, 1)
(37, 10, 1, 1)
(38, 10, 1, 1)
(39, 10, 1, 1)
(41, 10, 1, 1)
(43, 10, 1, 1)
(44, 10, 1, 1)
(45, 10, 1, 1)
(46, 10, 1, 1)
(47, 10, 1, 1)
(48, 10, 1, 1)
(49, 10, 1, 1)
(51, 10, 1, 1)
(52, 10, 1, 1)
(53, 10, 1, 1)
(2, 11, 1, 1)
(5, 11, 1, 1)
(41, 11, 1, 1)
(47, 11, 1, 1)
(2, 12, 1, 1)
(5, 12, 1, 1)
(20, 12, 1, 1)
(41, 12, 1, 1)
(47, 12, 1, 1)
(5, 13, 1, 1)
(41, 13, 1, 1)
(5, 14, 1, 1)
(0, 15, 1, 1)
(1, 15, 1, 1)
(2, 15, 1, 1)
(3, 15, 1, 1)
(4, 15, 1, 1)
(5, 15, 1, 1)
(6, 15, 1, 1)
(7, 15, 1, 1)
(8, 15, 1, 1)
(9, 15, 1, 1)
(10, 15, 1, 1)
(11, 15, 1, 1)
(12, 15, 1, 1)
(13, 15, 1, 1)
(14, 15, 1, 1)
(15, 15, 1, 1)
(16, 15, 1, 1)
(17, 15, 1, 1)
(18, 15, 1, 1)
(19, 15, 1, 1)
(20, 15, 1, 1)
(21, 15, 1, 1)
(22, 15, 1, 1)
(23, 15, 1, 1)
(24, 15, 1, 1)
(25, 15, 1, 1)
(26, 15, 1, 1)
(27, 15, 1, 1)
(28, 15, 1, 1)
(29, 15, 1, 1)
(31, 15, 1, 1)
(32, 15, 1, 1)
(33, 15, 1, 1)
(34, 15, 1, 1)
(35, 15, 1, 1)
(36, 15, 1, 1)
(37, 15, 1, 1)
(38, 15, 1, 1)
(39, 15, 1, 1)
(40, 15, 1, 1)
(41, 15, 1, 1)
(42, 15, 1, 1)
(43, 15, 1, 1)
(44, 15, 1, 1)
(45, 15, 1, 1)
(46, 15, 1, 1)
(47, 15, 1, 1)
(48, 15, 1, 1)
(49, 15, 1, 1)
(50, 15, 1, 1)
(51, 15, 1, 1)
(52, 15, 1, 1)
(53, 15, 1, 1)
(54, 15, 1, 1)
(55, 15, 1, 1)
(2, 16, 1, 1)
(5, 16, 1, 1)
(2, 17, 1, 1)
(5, 17, 1, 1)
(7, 17, 1, 1)
(5, 18, 1, 1)
(7, 18, 1, 1)
(2, 19, 1, 1)
(5, 19, 1, 1)
(7, 19, 1, 1)
(8, 19, 1, 1)
(9, 19, 1, 1)
(10, 19, 1, 1)
(11, 19, 1, 1)
(12, 19, 1, 1)
(13, 19, 1, 1)
(14, 19, 1, 1)
(15, 19, 1, 1)
(16, 19, 1, 1)
(17, 19, 1, 1)
(18, 19, 1, 1)
(19, 19, 1, 1)
(20, 19, 1, 1)
(21, 19, 1, 1)
(22, 19, 1, 1)
(23, 19, 1, 1)
(24, 19, 1, 1)
(25, 19, 1, 1)
(26, 19, 1, 1)
(27, 19, 1, 1)
(28, 19, 1, 1)
(29, 19, 1, 1)
(30, 19, 1, 1)
(31, 19, 1, 1)
(32, 19, 1, 1)
(33, 19, 1, 1)
(34, 19, 1, 1)
(35, 19, 1, 1)
(36, 19, 1, 1)
(37, 19, 1, 1)
(38, 19, 1, 1)
(39, 19, 1, 1)
(40, 19, 1, 1)
(41, 19, 1, 1)
(42, 19, 1, 1)
(43, 19, 1, 1)
(44, 19, 1, 1)
(45, 19, 1, 1)
(46, 19, 1, 1)
(47, 19, 1, 1)
(48, 19, 1, 1)
(49, 19, 1, 1)
(51, 19, 1, 1)
(52, 19, 1, 1)
(53, 19, 1, 1)
(54, 19, 1, 1)
(2, 20, 1, 1)
(5, 20, 1, 1)
(7, 20, 1, 1)
(33, 20, 1, 1)
(2, 21, 1, 1)
(5, 21, 1, 1)
(7, 21, 1, 1)
(33, 21, 1, 1)
(7, 22, 1, 1)
(1, 23, 1, 1)
(2, 23, 1, 1)
(5, 23, 1, 1)
(7, 23, 1, 1)
(8, 23, 1, 1)
(9, 23, 1, 1)
(10, 23, 1, 1)
(11, 23, 1, 1)
(12, 23, 1, 1)
(13, 23, 1, 1)
(14, 23, 1, 1)
(15, 23, 1, 1)
(16, 23, 1, 1)
(17, 23, 1, 1)
(18, 23, 1, 1)
(19, 23, 1, 1)
(20, 23, 1, 1)
(21, 23, 1, 1)
(22, 23, 1, 1)
(23, 23, 1, 1)
(24, 23, 1, 1)
(25, 23, 1, 1)
(26, 23, 1, 1)
(27, 23, 1, 1)
(28, 23, 1, 1)
(29, 23, 1, 1)
(30, 23, 1, 1)
(31, 23, 1, 1)
(32, 23, 1, 1)
(33, 23, 1, 1)
(34, 23, 1, 1)
(35, 23, 1, 1)
(36, 23, 1, 1)
(37, 23, 1, 1)
(38, 23, 1, 1)
(39, 23, 1, 1)
(40, 23, 1, 1)
(41, 23, 1, 1)
(43, 23, 1, 1)
(44, 23, 1, 1)
(45, 23, 1, 1)
(46, 23, 1, 1)
(47, 23, 1, 1)
(48, 23, 1, 1)
(49, 23, 1, 1)
(50, 23, 1, 1)
(51, 23, 1, 1)
(52, 23, 1, 1)
(53, 23, 1, 1)
(2, 24, 1, 1)
(5, 24, 1, 1)
(7, 24, 1, 1)
(5, 25, 1, 1)
