[27, 45]
(5, 0)
(22, 14) | (0, 22)
(19, 0, 1, 1)
(0, 1, 1, 1)
(1, 1, 1, 1)
(2, 1, 1, 1)
(3, 1, 1, 1)
(4, 1, 1, 1)
(5, 1, 1, 1)
(6, 1, 1, 1)
(7, 1, 1, 1)
(8, 1, 1, 1)
(9, 1, 1, 1)
(10, 1, 1, 1)
(11, 1, 1, 1)
(12, 1, 1, 1)
(13, 1, 1, 1)
(15, 1, 1, 1)
(16, 1, 1, 1)
(17, 1, 1, 1)
(18, 1, 1, 1)
(19, 1, 1, 1)
(20, 1, 1, 1)
(21, 1, 1, 1)
(22, 1, 1, 1)
(23, 1, 1, 1)
(24, 1, 1, 1)
(25, 1, 1, 1)
(26, 1, 1, 1)
(27, 1, 1, 1)
(28, 1, 1, 1)
(29, 1, 1, 1)
(30, 1, 1, 1)
(31, 1, 1, 1)
(32, 1, 1, 1)
(33, 1, 1, 1)
(34, 1, 1, 1)
(35, 1, 1, 1)
(36, 1, 1, 1)
(37, 1, 1, 1)
(38, 1, 1, 1)
(39, 1, 1, 1)
(40, 1, 1, 1)
(41, 1, 1, 1)
(42, 1, 1, 1)
(43, 1, 1, 1)
(14, 2, 1, 1)
(19, 2, 1, 1)
(41, 2, 1, 1)
(7, 3, 1, 1)
(14, 3, 1, 1)
(16, 3, 1, 1)
(19, 3, 1, 1)
(41, 3, 1, 1)
(7, 4, 1, 1)
(9, 4, 1, 1)
(14, 4, 1, 1)
(16, 4, 1, 1)
(19, 4, 1, 1)
(32, 4, 1, 1)
(41, 4, 1, 1)
(4, 5, 1, 1)
(7, 5, 1, 1)
(9, 5, 1, 1)
(11, 5, 1, 1)
(14, 5, 1, 1)
(19, 5, 1, 1)
(23, 5, 1, 1)
(32, 5, 1, 1)
(34, 5, 1, 1)
(35, 5, 1, 1)
(36, 5, 1, 1)
(38, 5, 1, 1)
(41, 5, 1, 1)
(4, 6, 1, 1)
(7, 6, 1, 1)
(9, 6, 1, 1)
(14, 6, 1, 1)
