[31, 39]
(7, 12)
(2, 30) | (25, 11)
(35, 0, 1, 1)
(35, 1, 1, 1)
(16, 2, 1, 1)
(35, 2, 1, 1)
(37, 2, 1, 1)
(35, 3, 1, 1)
(37, 3, 1, 1)
(1, 4, 1, 1)
(2, 4, 1, 1)
(3, 4, 1, 1)
(4, 4, 1, 1)
(5, 4, 1, 1)
(6, 4, 1, 1)
(7, 4, 1, 1)
(8, 4, 1, 1)
(9, 4, 1, 1)
(10, 4, 1, 1)
(11, 4, 1, 1)
(12, 4, 1, 1)
(13, 4, 1, 1)
(14, 4, 1, 1)
(15, 4, 1, 1)
(16, 4, 1, 1)
(17, 4, 1, 1)
(18, 4, 1, 1)
(19, 4, 1, 1)
(20, 4, 1, 1)
(21, 4, 1, 1)
(22, 4, 1, 1)
(23, 4, 1, 1)
(24, 4, 1, 1)
(25, 4, 1, 1)
(26, 4, 1, 1)
(27, 4, 1, 1)
(28, 4, 1, 1)
(29, 4, 1, 1)
(30, 4, 1, 1)
(32, 4, 1, 1)
(33, 4, 1, 1)
(37, 4, 1, 1)
(7, 5, 1, 1)
(16, 5, 1, 1)
(30, 5, 1, 1)
(35, 5, 1, 1)
(37, 5, 1, 1)
(7, 6, 1, 1)
(16, 6, 1, 1)
(30, 6, 1, 1)
(35, 6, 1, 1)
(37, 6, 1, 1)
(7, 7, 1, 1)
(16, 7, 1, 1)
(18, 7, 1, 1)
(19, 7, 1, 1)
(21, 7, 1, 1)
(22, 7, 1, 1)
(23, 7, 1, 1)
(24, 7, 1, 1)
(25, 7, 1, 1)
(27, 7, 1, 1)
(28, 7, 1, 1)
(30, 7, 1, 1)
(35, 7, 1, 1)
(37, 7, 1, 1)
(2, 8, 1, 1)
(3, 8, 1, 1)
(4, 8, 1, 1)
(5, 8, 1, 1)
(7, 8, 1, 1)
(8, 8, 1, 1)
(9, 8, 1, 1)
(10, 8, 1, 1)
(11, 8, 1, 1)
(13, 8, 1, 1)
(14, 8, 1, 1)
