[30, 18]
(5, 14)
(0, 13) | (1, 0)
(0, 1, 1, 1)
(1, 1, 1, 1)
(2, 1, 1, 1)
(3, 1, 1, 1)
(4, 1, 1, 1)
(5, 1, 1, 1)
(6, 1, 1, 1)
(7, 1, 1, 1)
(8, 1, 1, 1)
(9, 1, 1, 1)
(10, 1, 1, 1)
(11, 1, 1, 1)
(12, 1, 1, 1)
(13, 1, 1, 1)
(14, 1, 1, 1)
(15, 1, 1, 1)
(17, 1, 1, 1)
(10, 2, 1, 1)
(13, 2, 1, 1)
(15, 2, 1, 1)
(5, 3, 1, 1)
(10, 3, 1, 1)
(13, 3, 1, 1)
(15, 3, 1, 1)
(5, 4, 1, 1)
(10, 4, 1, 1)
(13, 4, 1, 1)
(5, 5, 1, 1)
(7, 5, 1, 1)
(10, 5, 1, 1)
(13, 5, 1, 1)
(15, 5, 1, 1)
(5, 6, 1, 1)
(7, 6, 1, 1)
(10, 6, 1, 1)
(13, 6, 1, 1)
(15, 6, 1, 1)
(5, 7, 1, 1)
(10, 7, 1, 1)
(13, 7, 1, 1)
(15, 7, 1, 1)
(16, 7, 1, 1)
(2, 8, 1, 1)
(3, 8, 1, 1)
(5, 8, 1, 1)
(6, 8, 1, 1)
(7, 8, 1, 1)
(13, 8, 1, 1)
(15, 8, 1, 1)
(7, 9, 1, 1)
(10, 9, 1, 1)
(13, 9, 1, 1)
(15, 9, 1, 1)
(5, 10, 1, 1)
(7, 10, 1, 1)
(10, 10, 1, 1)
(13, 10, 1, 1)
(5, 11, 1, 1)
(7, 11, 1, 1)
(10, 11, 1, 1)
(13, 11, 1, 1)
(15, 11, 1, 1)
(5, 12, 1, 1)
(7, 12, 1, 1)
(10, 12, 1, 1)
(13, 12, 1, 1)
(15, 12, 1, 1)
(5, 13, 1, 1)
(7, 13, 1, 1)
(10, 13, 1, 1)
(13, 13, 1, 1)
(15, 13, 1, 1)
(7, 14, 1, 1)
(10, 14, 1, 1)
(13, 14, 1, 1)
(15, 14, 1, 1)
(5, 15, 1, 1)
(7, 15, 1, 1)
(10, 15, 1, 1)
(13, 15, 1, 1)
(15, 15, 1, 1)
(5, 16, 1, 1)
(7, 16, 1, 1)
(10, 16, 1, 1)
(13, 16, 1, 1)
(15, 16, 1, 1)
(5, 17, 1, 1)
(7, 17, 1, 1)
(10, 17, 1, 1)
(13, 17, 1, 1)
(15, 17, 1, 1)
(5, 18, 1, 1)
(7, 18, 1, 1)
(10, 18, 1, 1)
(13, 18, 1, 1)
(15, 18, 1, 1)
(5, 19, 1, 1)
(10, 19, 1, 1)
(13, 19, 1, 1)
(15, 19, 1, 1)
(5, 20, 1, 1)
(7, 20, 1, 1)
(10, 20, 1, 1)
(15, 20, 1, 1)
(5, 21, 1, 1)
(10, 21, 1, 1)
(13, 21, 1, 1)
(15, 21, 1, 1)
(10, 22, 1, 1)
(13, 22, 1, 1)
(15, 22, 1, 1)
(1, 23, 1, 1)
(2, 23, 1, 1)
(3, 23, 1, 1)
(4, 23, 1, 1)
(5, 23, 1, 1)
(6, 23, 1, 1)
(7, 23, 1, 1)
(8, 23, 1, 1)
(9, 23, 1, 1)
(10, 23, 1, 1)
(13, 23, 1, 1)
(15, 23, 1, 1)
(5, 24, 1, 1)
(10, 24, 1, 1)
(13, 24, 1, 1)
(15, 24, 1, 1)
(5, 25, 1, 1)
(10, 25, 1, 1)
(13, 25, 1, 1)
(15, 25, 1, 1)
(13, 26, 1, 1)
(15, 26, 1, 1)
(2, 27, 1, 1)
(3, 27, 1, 1)
(5, 27, 1, 1)
(7, 27, 1, 1)
(8, 27, 1, 1)
(10, 27, 1, 1)
(13, 27, 1, 1)
(15, 27, 1, 1)
(10, 28, 1, 1)
(13, 28, 1, 1)
(15, 28, 1, 1)
(13, 29, 1, 1)
