[16, 106]
(43, 9)
(64, 4) | (78, 10)
(0, 1, 1, 1)
(1, 1, 1, 1)
(2, 1, 1, 1)
(3, 1, 1, 1)
(4, 1, 1, 1)
(5, 1, 1, 1)
(6, 1, 1, 1)
(7, 1, 1, 1)
(8, 1, 1, 1)
(9, 1, 1, 1)
(10, 1, 1, 1)
(11, 1, 1, 1)
(12, 1, 1, 1)
(13, 1, 1, 1)
(14, 1, 1, 1)
(15, 1, 1, 1)
(16, 1, 1, 1)
(17, 1, 1, 1)
(18, 1, 1, 1)
(19, 1, 1, 1)
(20, 1, 1, 1)
(21, 1, 1, 1)
(22, 1, 1, 1)
(23, 1, 1, 1)
(24, 1, 1, 1)
(25, 1, 1, 1)
(26, 1, 1, 1)
(27, 1, 1, 1)
(28, 1, 1, 1)
(29, 1, 1, 1)
(30, 1, 1, 1)
(31, 1, 1, 1)
(32, 1, 1, 1)
(33, 1, 1, 1)
(34, 1, 1, 1)
(35, 1, 1, 1)
(36, 1, 1, 1)
(37, 1, 1, 1)
(38, 1, 1, 1)
(39, 1, 1, 1)
(40, 1, 1, 1)
(41, 1, 1, 1)
(42, 1, 1, 1)
(43, 1, 1, 1)
(44, 1, 1, 1)
(45, 1, 1, 1)
(46, 1, 1, 1)
(47, 1, 1, 1)
(48, 1, 1, 1)
(49, 1, 1, 1)
(50, 1, 1, 1)
(51, 1, 1, 1)
(52, 1, 1, 1)
(53, 1, 1, 1)
(54, 1, 1, 1)
(55, 1, 1, 1)
(56, 1, 1, 1)
(57, 1, 1, 1)
(58, 1, 1, 1)
(59, 1, 1, 1)
(60, 1, 1, 1)
(61, 1, 1, 1)
(62, 1, 1, 1)
(63, 1, 1, 1)
(64, 1, 1, 1)
(65, 1, 1, 1)
(66, 1, 1, 1)
(67, 1, 1, 1)
(68, 1, 1, 1)
(69, 1, 1, 1)
(70, 1, 1, 1)
(71, 1, 1, 1)
(72, 1, 1, 1)
(73, 1, 1, 1)
(75, 1, 1, 1)
(76, 1, 1, 1)
(77, 1, 1, 1)
(78, 1, 1, 1)
(79, 1, 1, 1)
(80, 1, 1, 1)
(81, 1, 1, 1)
(82, 1, 1, 1)
(83, 1, 1, 1)
(84, 1, 1, 1)
(85, 1, 1, 1)
(86, 1, 1, 1)
(87, 1, 1, 1)
(88, 1, 1, 1)
(89, 1, 1, 1)
(90, 1, 1, 1)
(91, 1, 1, 1)
(92, 1, 1, 1)
(93, 1, 1, 1)
(94, 1, 1, 1)
(95, 1, 1, 1)
(96, 1, 1, 1)
(97, 1, 1, 1)
(98, 1, 1, 1)
(99, 1, 1, 1)
(100, 1, 1, 1)
(101, 1, 1, 1)
(102, 1, 1, 1)
(103, 1, 1, 1)
(104, 1, 1, 1)
(105, 1, 1, 1)
(36, 2, 1, 1)
(57, 2, 1, 1)
(67, 2, 1, 1)
(1, 3, 1, 1)
(2, 3, 1, 1)
(3, 3, 1, 1)
(4, 3, 1, 1)
(5, 3, 1, 1)
(6, 3, 1, 1)
(7, 3, 1, 1)
(8, 3, 1, 1)
(9, 3, 1, 1)
(10, 3, 1, 1)
(11, 3, 1, 1)
(12, 3, 1, 1)
(13, 3, 1, 1)
(14, 3, 1, 1)
(15, 3, 1, 1)
(16, 3, 1, 1)
(17, 3, 1, 1)
(18, 3, 1, 1)
(20, 3, 1, 1)
(21, 3, 1, 1)
(22, 3, 1, 1)
(23, 3, 1, 1)
(24, 3, 1, 1)
(25, 3, 1, 1)
(26, 3, 1, 1)
(27, 3, 1, 1)
(28, 3, 1, 1)
(29, 3, 1, 1)
(30, 3, 1, 1)
(31, 3, 1, 1)
(32, 3, 1, 1)
(33, 3, 1, 1)
(34, 3, 1, 1)
(35, 3, 1, 1)
(36, 3, 1, 1)
(37, 3, 1, 1)
(38, 3, 1, 1)
(39, 3, 1, 1)
(40, 3, 1, 1)
(41, 3, 1, 1)
(42, 3, 1, 1)
(43, 3, 1, 1)
(44, 3, 1, 1)
(46, 3, 1, 1)
(47, 3, 1, 1)
(48, 3, 1, 1)
(49, 3, 1, 1)
(50, 3, 1, 1)
(51, 3, 1, 1)
(52, 3, 1, 1)
(53, 3, 1, 1)
(54, 3, 1, 1)
(55, 3, 1, 1)
(57, 3, 1, 1)
(64, 3, 1, 1)
(67, 3, 1, 1)
(81, 3, 1, 1)
(44, 4, 1, 1)
(57, 4, 1, 1)
(67, 4, 1, 1)
(81, 4, 1, 1)
(31, 5, 1, 1)
(36, 5, 1, 1)
(41, 5, 1, 1)
(44, 5, 1, 1)
(52, 5, 1, 1)
(57, 5, 1, 1)
(67, 5, 1, 1)
(31, 6, 1, 1)
(36, 6, 1, 1)
(41, 6, 1, 1)
(44, 6, 1, 1)
(52, 6, 1, 1)
(57, 6, 1, 1)
(59, 6, 1, 1)
(60, 6, 1, 1)
(62, 6, 1, 1)
(64, 6, 1, 1)
(65, 6, 1, 1)
(67, 6, 1, 1)
(69, 6, 1, 1)
(70, 6, 1, 1)
(71, 6, 1, 1)
(72, 6, 1, 1)
(73, 6, 1, 1)
(74, 6, 1, 1)
(75, 6, 1, 1)
(76, 6, 1, 1)
(77, 6, 1, 1)
(78, 6, 1, 1)
(79, 6, 1, 1)
(80, 6, 1, 1)
(81, 6, 1, 1)
(82, 6, 1, 1)
(83, 6, 1, 1)
(84, 6, 1, 1)
(85, 6, 1, 1)
(86, 6, 1, 1)
(87, 6, 1, 1)
(88, 6, 1, 1)
(89, 6, 1, 1)
(90, 6, 1, 1)
(91, 6, 1, 1)
(92, 6, 1, 1)
(93, 6, 1, 1)
(94, 6, 1, 1)
(95, 6, 1, 1)
(96, 6, 1, 1)
(97, 6, 1, 1)
(98, 6, 1, 1)
(99, 6, 1, 1)
(100, 6, 1, 1)
(101, 6, 1, 1)
(102, 6, 1, 1)
(103, 6, 1, 1)
(2, 7, 1, 1)
(3, 7, 1, 1)
(4, 7, 1, 1)
(5, 7, 1, 1)
(6, 7, 1, 1)
(7, 7, 1, 1)
(8, 7, 1, 1)
(9, 7, 1, 1)
(10, 7, 1, 1)
(11, 7, 1, 1)
(12, 7, 1, 1)
(13, 7, 1, 1)
(14, 7, 1, 1)
(15, 7, 1, 1)
(16, 7, 1, 1)
(17, 7, 1, 1)
(18, 7, 1, 1)
(19, 7, 1, 1)
(20, 7, 1, 1)
(21, 7, 1, 1)
(23, 7, 1, 1)
(24, 7, 1, 1)
(25, 7, 1, 1)
(26, 7, 1, 1)
(27, 7, 1, 1)
(28, 7, 1, 1)
(29, 7, 1, 1)
(30, 7, 1, 1)
(31, 7, 1, 1)
(33, 7, 1, 1)
(34, 7, 1, 1)
(36, 7, 1, 1)
(41, 7, 1, 1)
(44, 7, 1, 1)
(46, 7, 1, 1)
(47, 7, 1, 1)
(48, 7, 1, 1)
(49, 7, 1, 1)
(52, 7, 1, 1)
(57, 7, 1, 1)
(64, 7, 1, 1)
(67, 7, 1, 1)
(81, 7, 1, 1)
(31, 8, 1, 1)
(36, 8, 1, 1)
(39, 8, 1, 1)
(40, 8, 1, 1)
(41, 8, 1, 1)
(44, 8, 1, 1)
(52, 8, 1, 1)
(57, 8, 1, 1)
(61, 8, 1, 1)
(62, 8, 1, 1)
(64, 8, 1, 1)
(67, 8, 1, 1)
(69, 8, 1, 1)
(70, 8, 1, 1)
(71, 8, 1, 1)
(72, 8, 1, 1)
(73, 8, 1, 1)
(74, 8, 1, 1)
(75, 8, 1, 1)
(76, 8, 1, 1)
(78, 8, 1, 1)
(81, 8, 1, 1)
(82, 8, 1, 1)
(83, 8, 1, 1)
(85, 8, 1, 1)
(86, 8, 1, 1)
(87, 8, 1, 1)
(88, 8, 1, 1)
(89, 8, 1, 1)
(90, 8, 1, 1)
(91, 8, 1, 1)
(92, 8, 1, 1)
(93, 8, 1, 1)
(94, 8, 1, 1)
(95, 8, 1, 1)
(96, 8, 1, 1)
(97, 8, 1, 1)
(98, 8, 1, 1)
(99, 8, 1, 1)
(100, 8, 1, 1)
(101, 8, 1, 1)
(102, 8, 1, 1)
(3, 9, 1, 1)
(4, 9, 1, 1)
(5, 9, 1, 1)
(6, 9, 1, 1)
(8, 9, 1, 1)
(9, 9, 1, 1)
(10, 9, 1, 1)
(11, 9, 1, 1)
(12, 9, 1, 1)
(13, 9, 1, 1)
(14, 9, 1, 1)
(15, 9, 1, 1)
(16, 9, 1, 1)
(17, 9, 1, 1)
(18, 9, 1, 1)
(19, 9, 1, 1)
(20, 9, 1, 1)
(21, 9, 1, 1)
(22, 9, 1, 1)
(23, 9, 1, 1)
(24, 9, 1, 1)
(25, 9, 1, 1)
(26, 9, 1, 1)
(27, 9, 1, 1)
(28, 9, 1, 1)
(29, 9, 1, 1)
(31, 9, 1, 1)
(33, 9, 1, 1)
(36, 9, 1, 1)
(44, 9, 1, 1)
(57, 9, 1, 1)
(64, 9, 1, 1)
(67, 9, 1, 1)
(16, 10, 1, 1)
(31, 10, 1, 1)
(33, 10, 1, 1)
(36, 10, 1, 1)
(41, 10, 1, 1)
(44, 10, 1, 1)
(45, 10, 1, 1)
(46, 10, 1, 1)
(47, 10, 1, 1)
(48, 10, 1, 1)
(49, 10, 1, 1)
(50, 10, 1, 1)
(52, 10, 1, 1)
(57, 10, 1, 1)
(4, 11, 1, 1)
(5, 11, 1, 1)
(7, 11, 1, 1)
(8, 11, 1, 1)
(9, 11, 1, 1)
(10, 11, 1, 1)
(11, 11, 1, 1)
(12, 11, 1, 1)
(13, 11, 1, 1)
(16, 11, 1, 1)
(17, 11, 1, 1)
(18, 11, 1, 1)
(19, 11, 1, 1)
(20, 11, 1, 1)
(21, 11, 1, 1)
(22, 11, 1, 1)
(23, 11, 1, 1)
(24, 11, 1, 1)
(26, 11, 1, 1)
(27, 11, 1, 1)
(28, 11, 1, 1)
(31, 11, 1, 1)
(33, 11, 1, 1)
(36, 11, 1, 1)
(41, 11, 1, 1)
(44, 11, 1, 1)
(52, 11, 1, 1)
(57, 11, 1, 1)
(59, 11, 1, 1)
(60, 11, 1, 1)
(61, 11, 1, 1)
(62, 11, 1, 1)
(63, 11, 1, 1)
(64, 11, 1, 1)
(65, 11, 1, 1)
(66, 11, 1, 1)
(67, 11, 1, 1)
(68, 11, 1, 1)
(69, 11, 1, 1)
(70, 11, 1, 1)
(71, 11, 1, 1)
(72, 11, 1, 1)
(73, 11, 1, 1)
(74, 11, 1, 1)
(75, 11, 1, 1)
(76, 11, 1, 1)
(77, 11, 1, 1)
(79, 11, 1, 1)
(80, 11, 1, 1)
(81, 11, 1, 1)
(82, 11, 1, 1)
(83, 11, 1, 1)
(84, 11, 1, 1)
(85, 11, 1, 1)
(86, 11, 1, 1)
(87, 11, 1, 1)
(88, 11, 1, 1)
(89, 11, 1, 1)
(90, 11, 1, 1)
(91, 11, 1, 1)
(92, 11, 1, 1)
(93, 11, 1, 1)
(94, 11, 1, 1)
(95, 11, 1, 1)
(96, 11, 1, 1)
(97, 11, 1, 1)
(98, 11, 1, 1)
(99, 11, 1, 1)
(100, 11, 1, 1)
(101, 11, 1, 1)
(102, 11, 1, 1)
(103, 11, 1, 1)
(104, 11, 1, 1)
(31, 12, 1, 1)
(33, 12, 1, 1)
(36, 12, 1, 1)
(57, 12, 1, 1)
(67, 12, 1, 1)
(31, 13, 1, 1)
(36, 13, 1, 1)
(37, 13, 1, 1)
(38, 13, 1, 1)
(40, 13, 1, 1)
(41, 13, 1, 1)
(42, 13, 1, 1)
(43, 13, 1, 1)
(44, 13, 1, 1)
(45, 13, 1, 1)
(46, 13, 1, 1)
(47, 13, 1, 1)
(48, 13, 1, 1)
(49, 13, 1, 1)
(50, 13, 1, 1)
(52, 13, 1, 1)
(53, 13, 1, 1)
(54, 13, 1, 1)
(57, 13, 1, 1)
(60, 13, 1, 1)
(61, 13, 1, 1)
(62, 13, 1, 1)
(63, 13, 1, 1)
(64, 13, 1, 1)
(65, 13, 1, 1)
(67, 13, 1, 1)
(68, 13, 1, 1)
(69, 13, 1, 1)
(70, 13, 1, 1)
(71, 13, 1, 1)
(72, 13, 1, 1)
(73, 13, 1, 1)
(75, 13, 1, 1)
(76, 13, 1, 1)
(77, 13, 1, 1)
(78, 13, 1, 1)
(79, 13, 1, 1)
(80, 13, 1, 1)
(81, 13, 1, 1)
(82, 13, 1, 1)
(83, 13, 1, 1)
(84, 13, 1, 1)
(85, 13, 1, 1)
(86, 13, 1, 1)
(87, 13, 1, 1)
(88, 13, 1, 1)
(89, 13, 1, 1)
(90, 13, 1, 1)
(91, 13, 1, 1)
(93, 13, 1, 1)
(94, 13, 1, 1)
(95, 13, 1, 1)
(96, 13, 1, 1)
(97, 13, 1, 1)
(98, 13, 1, 1)
(99, 13, 1, 1)
(100, 13, 1, 1)
(101, 13, 1, 1)
(102, 13, 1, 1)
(103, 13, 1, 1)
(36, 14, 1, 1)
(57, 14, 1, 1)
(67, 14, 1, 1)
(57, 15, 1, 1)
