[25, 38]
(10, 1)
(23, 14) | (9, 21)
(15, 0, 1, 1)
(15, 1, 1, 1)
(1, 2, 1, 1)
(2, 2, 1, 1)
(3, 2, 1, 1)
(4, 2, 1, 1)
(5, 2, 1, 1)
(6, 2, 1, 1)
(7, 2, 1, 1)
(8, 2, 1, 1)
(10, 2, 1, 1)
(11, 2, 1, 1)
(12, 2, 1, 1)
(13, 2, 1, 1)
(16, 2, 1, 1)
(17, 2, 1, 1)
(18, 2, 1, 1)
(19, 2, 1, 1)
(20, 2, 1, 1)
(21, 2, 1, 1)
(22, 2, 1, 1)
(23, 2, 1, 1)
(24, 2, 1, 1)
(25, 2, 1, 1)
(26, 2, 1, 1)
(27, 2, 1, 1)
(28, 2, 1, 1)
(29, 2, 1, 1)
(30, 2, 1, 1)
(31, 2, 1, 1)
(33, 2, 1, 1)
(34, 2, 1, 1)
(35, 2, 1, 1)
(36, 2, 1, 1)
(15, 3, 1, 1)
(25, 3, 1, 1)
(15, 4, 1, 1)
(0, 5, 1, 1)
(1, 5, 1, 1)
(2, 5, 1, 1)
(3, 5, 1, 1)
(4, 5, 1, 1)
(5, 5, 1, 1)
(6, 5, 1, 1)
(7, 5, 1, 1)
(8, 5, 1, 1)
(9, 5, 1, 1)
(10, 5, 1, 1)
(11, 5, 1, 1)
(12, 5, 1, 1)
(13, 5, 1, 1)
(14, 5, 1, 1)
(15, 5, 1, 1)
(16, 5, 1, 1)
(17, 5, 1, 1)
(18, 5, 1, 1)
(19, 5, 1, 1)
(20, 5, 1, 1)
(21, 5, 1, 1)
(22, 5, 1, 1)
(23, 5, 1, 1)
(24, 5, 1, 1)
(25, 5, 1, 1)
(26, 5, 1, 1)
(27, 5, 1, 1)
(28, 5, 1, 1)
(29, 5, 1, 1)
(31, 5, 1, 1)
(32, 5, 1, 1)
(33, 5, 1, 1)
(34, 5, 1, 1)
(35, 5, 1, 1)
(36, 5, 1, 1)
(37, 5, 1, 1)
(4, 6, 1, 1)
(15, 6, 1, 1)
(19, 6, 1, 1)
(4, 7, 1, 1)
(15, 7, 1, 1)
(19, 7, 1, 1)
(23, 7, 1, 1)
(4, 8, 1, 1)
(15, 8, 1, 1)
(19, 8, 1, 1)
(21, 8, 1, 1)
(22, 8, 1, 1)
(23, 8, 1, 1)
(24, 8, 1, 1)
(25, 8, 1, 1)
(26, 8, 1, 1)
(27, 8, 1, 1)
(28, 8, 1, 1)
(29, 8, 1, 1)
(31, 8, 1, 1)
(32, 8, 1, 1)
(33, 8, 1, 1)
(34, 8, 1, 1)
(35, 8, 1, 1)
(2, 9, 1, 1)
(3, 9, 1, 1)
(4, 9, 1, 1)
(5, 9, 1, 1)
(6, 9, 1, 1)
(7, 9, 1, 1)
(8, 9, 1, 1)
(10, 9, 1, 1)
(11, 9, 1, 1)
(12, 9, 1, 1)
(13, 9, 1, 1)
(15, 9, 1, 1)
(19, 9, 1, 1)
(23, 9, 1, 1)
(4, 10, 1, 1)
(15, 10, 1, 1)
(19, 10, 1, 1)
(23, 10, 1, 1)
(33, 10, 1, 1)
(4, 11, 1, 1)
(5, 11, 1, 1)
(6, 11, 1, 1)
(8, 11, 1, 1)
(10, 11, 1, 1)
(11, 11, 1, 1)
(12, 11, 1, 1)
(15, 11, 1, 1)
(19, 11, 1, 1)
(23, 11, 1, 1)
(33, 11, 1, 1)
(4, 12, 1, 1)
(8, 12, 1, 1)
(15, 12, 1, 1)
(23, 12, 1, 1)
(25, 12, 1, 1)
(26, 12, 1, 1)
(27, 12, 1, 1)
(28, 12, 1, 1)
(29, 12, 1, 1)
(30, 12, 1, 1)
(31, 12, 1, 1)
(32, 12, 1, 1)
(33, 12, 1, 1)
(4, 13, 1, 1)
(8, 13, 1, 1)
(10, 13, 1, 1)
(11, 13, 1, 1)
(15, 13, 1, 1)
(19, 13, 1, 1)
(33, 13, 1, 1)
(4, 14, 1, 1)
(8, 14, 1, 1)
(15, 14, 1, 1)
(19, 14, 1, 1)
(25, 14, 1, 1)
(26, 14, 1, 1)
(27, 14, 1, 1)
(28, 14, 1, 1)
(29, 14, 1, 1)
(30, 14, 1, 1)
(33, 14, 1, 1)
(4, 15, 1, 1)
(8, 15, 1, 1)
(10, 15, 1, 1)
(15, 15, 1, 1)
(19, 15, 1, 1)
(23, 15, 1, 1)
(26, 15, 1, 1)
(33, 15, 1, 1)
(8, 16, 1, 1)
(10, 16, 1, 1)
(15, 16, 1, 1)
(19, 16, 1, 1)
(23, 16, 1, 1)
(33, 16, 1, 1)
(4, 17, 1, 1)
(8, 17, 1, 1)
(10, 17, 1, 1)
(15, 17, 1, 1)
(19, 17, 1, 1)
(23, 17, 1, 1)
(4, 18, 1, 1)
(8, 18, 1, 1)
(10, 18, 1, 1)
(15, 18, 1, 1)
(19, 18, 1, 1)
(4, 19, 1, 1)
(8, 19, 1, 1)
(10, 19, 1, 1)
(15, 19, 1, 1)
