[26, 122]
(103, 0)
(93, 24) | (58, 22)
(99, 0, 1, 1)
(80, 1, 1, 1)
(99, 1, 1, 1)
(119, 1, 1, 1)
(80, 2, 1, 1)
(99, 2, 1, 1)
(114, 2, 1, 1)
(119, 2, 1, 1)
(2, 3, 1, 1)
(3, 3, 1, 1)
(4, 3, 1, 1)
(5, 3, 1, 1)
(6, 3, 1, 1)
(7, 3, 1, 1)
(8, 3, 1, 1)
(9, 3, 1, 1)
(10, 3, 1, 1)
(11, 3, 1, 1)
(12, 3, 1, 1)
(13, 3, 1, 1)
(14, 3, 1, 1)
(15, 3, 1, 1)
(16, 3, 1, 1)
(17, 3, 1, 1)
(18, 3, 1, 1)
(19, 3, 1, 1)
(20, 3, 1, 1)
(21, 3, 1, 1)
(22, 3, 1, 1)
(23, 3, 1, 1)
(24, 3, 1, 1)
(25, 3, 1, 1)
(26, 3, 1, 1)
(27, 3, 1, 1)
(28, 3, 1, 1)
(29, 3, 1, 1)
(30, 3, 1, 1)
(31, 3, 1, 1)
(32, 3, 1, 1)
(33, 3, 1, 1)
(34, 3, 1, 1)
(35, 3, 1, 1)
(36, 3, 1, 1)
(37, 3, 1, 1)
(38, 3, 1, 1)
(39, 3, 1, 1)
(40, 3, 1, 1)
(41, 3, 1, 1)
(42, 3, 1, 1)
(43, 3, 1, 1)
(44, 3, 1, 1)
(45, 3, 1, 1)
(46, 3, 1, 1)
(47, 3, 1, 1)
(48, 3, 1, 1)
(49, 3, 1, 1)
(50, 3, 1, 1)
(51, 3, 1, 1)
(52, 3, 1, 1)
(53, 3, 1, 1)
(54, 3, 1, 1)
(55, 3, 1, 1)
(56, 3, 1, 1)
(57, 3, 1, 1)
(58, 3, 1, 1)
(59, 3, 1, 1)
(60, 3, 1, 1)
(61, 3, 1, 1)
(62, 3, 1, 1)
(63, 3, 1, 1)
(64, 3, 1, 1)
(65, 3, 1, 1)
(66, 3, 1, 1)
(67, 3, 1, 1)
(68, 3, 1, 1)
(69, 3, 1, 1)
(70, 3, 1, 1)
(71, 3, 1, 1)
(72, 3, 1, 1)
(73, 3, 1, 1)
(75, 3, 1, 1)
(76, 3, 1, 1)
(77, 3, 1, 1)
(78, 3, 1, 1)
(80, 3, 1, 1)
(82, 3, 1, 1)
(83, 3, 1, 1)
(84, 3, 1, 1)
(85, 3, 1, 1)
(86, 3, 1, 1)
(87, 3, 1, 1)
(88, 3, 1, 1)
(89, 3, 1, 1)
(90, 3, 1, 1)
(91, 3, 1, 1)
(92, 3, 1, 1)
(93, 3, 1, 1)
(94, 3, 1, 1)
(95, 3, 1, 1)
(96, 3, 1, 1)
(99, 3, 1, 1)
(114, 3, 1, 1)
(116, 3, 1, 1)
(80, 4, 1, 1)
(88, 4, 1, 1)
(99, 4, 1, 1)
(102, 4, 1, 1)
(103, 4, 1, 1)
(104, 4, 1, 1)
(105, 4, 1, 1)
(106, 4, 1, 1)
(107, 4, 1, 1)
(108, 4, 1, 1)
(109, 4, 1, 1)
(110, 4, 1, 1)
(111, 4, 1, 1)
(114, 4, 1, 1)
(116, 4, 1, 1)
(119, 4, 1, 1)
(80, 5, 1, 1)
(99, 5, 1, 1)
(114, 5, 1, 1)
(119, 5, 1, 1)
(1, 6, 1, 1)
(2, 6, 1, 1)
(3, 6, 1, 1)
(4, 6, 1, 1)
(5, 6, 1, 1)
(6, 6, 1, 1)
(7, 6, 1, 1)
(8, 6, 1, 1)
(9, 6, 1, 1)
(10, 6, 1, 1)
(11, 6, 1, 1)
(12, 6, 1, 1)
(13, 6, 1, 1)
(14, 6, 1, 1)
(15, 6, 1, 1)
(16, 6, 1, 1)
(17, 6, 1, 1)
(18, 6, 1, 1)
(19, 6, 1, 1)
(20, 6, 1, 1)
(21, 6, 1, 1)
(22, 6, 1, 1)
(23, 6, 1, 1)
(24, 6, 1, 1)
(25, 6, 1, 1)
(26, 6, 1, 1)
(27, 6, 1, 1)
(28, 6, 1, 1)
(29, 6, 1, 1)
(30, 6, 1, 1)
(32, 6, 1, 1)
(33, 6, 1, 1)
(34, 6, 1, 1)
(35, 6, 1, 1)
(36, 6, 1, 1)
(37, 6, 1, 1)
(38, 6, 1, 1)
(39, 6, 1, 1)
(40, 6, 1, 1)
(41, 6, 1, 1)
(42, 6, 1, 1)
(43, 6, 1, 1)
(44, 6, 1, 1)
(45, 6, 1, 1)
(46, 6, 1, 1)
(47, 6, 1, 1)
(48, 6, 1, 1)
(49, 6, 1, 1)
(50, 6, 1, 1)
(51, 6, 1, 1)
(52, 6, 1, 1)
(53, 6, 1, 1)
(54, 6, 1, 1)
(55, 6, 1, 1)
(56, 6, 1, 1)
(57, 6, 1, 1)
(58, 6, 1, 1)
(59, 6, 1, 1)
(60, 6, 1, 1)
(61, 6, 1, 1)
(62, 6, 1, 1)
(63, 6, 1, 1)
(64, 6, 1, 1)
(65, 6, 1, 1)
(66, 6, 1, 1)
(67, 6, 1, 1)
(68, 6, 1, 1)
(69, 6, 1, 1)
(70, 6, 1, 1)
(71, 6, 1, 1)
(72, 6, 1, 1)
(73, 6, 1, 1)
(74, 6, 1, 1)
(75, 6, 1, 1)
(76, 6, 1, 1)
(77, 6, 1, 1)
(78, 6, 1, 1)
(79, 6, 1, 1)
(80, 6, 1, 1)
(81, 6, 1, 1)
(82, 6, 1, 1)
(83, 6, 1, 1)
(84, 6, 1, 1)
(86, 6, 1, 1)
(87, 6, 1, 1)
(88, 6, 1, 1)
(89, 6, 1, 1)
(90, 6, 1, 1)
(91, 6, 1, 1)
(92, 6, 1, 1)
(93, 6, 1, 1)
(94, 6, 1, 1)
(95, 6, 1, 1)
(96, 6, 1, 1)
(97, 6, 1, 1)
(99, 6, 1, 1)
(105, 6, 1, 1)
(106, 6, 1, 1)
(107, 6, 1, 1)
(109, 6, 1, 1)
(110, 6, 1, 1)
(111, 6, 1, 1)
(116, 6, 1, 1)
(119, 6, 1, 1)
(80, 7, 1, 1)
(90, 7, 1, 1)
(99, 7, 1, 1)
(105, 7, 1, 1)
(114, 7, 1, 1)
(116, 7, 1, 1)
(119, 7, 1, 1)
(41, 8, 1, 1)
(80, 8, 1, 1)
(90, 8, 1, 1)
(99, 8, 1, 1)
(114, 8, 1, 1)
(119, 8, 1, 1)
(41, 9, 1, 1)
(80, 9, 1, 1)
(99, 9, 1, 1)
(101, 9, 1, 1)
(102, 9, 1, 1)
(104, 9, 1, 1)
(105, 9, 1, 1)
(106, 9, 1, 1)
(107, 9, 1, 1)
(108, 9, 1, 1)
(109, 9, 1, 1)
(110, 9, 1, 1)
(111, 9, 1, 1)
(112, 9, 1, 1)
(113, 9, 1, 1)
(114, 9, 1, 1)
(115, 9, 1, 1)
(116, 9, 1, 1)
(117, 9, 1, 1)
(119, 9, 1, 1)
(2, 10, 1, 1)
(3, 10, 1, 1)
(4, 10, 1, 1)
(5, 10, 1, 1)
(6, 10, 1, 1)
(7, 10, 1, 1)
(8, 10, 1, 1)
(9, 10, 1, 1)
(10, 10, 1, 1)
(11, 10, 1, 1)
(12, 10, 1, 1)
(13, 10, 1, 1)
(14, 10, 1, 1)
(15, 10, 1, 1)
(16, 10, 1, 1)
(17, 10, 1, 1)
(18, 10, 1, 1)
(19, 10, 1, 1)
(20, 10, 1, 1)
(21, 10, 1, 1)
(22, 10, 1, 1)
(23, 10, 1, 1)
(24, 10, 1, 1)
(25, 10, 1, 1)
(26, 10, 1, 1)
(27, 10, 1, 1)
(28, 10, 1, 1)
(29, 10, 1, 1)
(30, 10, 1, 1)
(31, 10, 1, 1)
(32, 10, 1, 1)
(33, 10, 1, 1)
(34, 10, 1, 1)
(35, 10, 1, 1)
(36, 10, 1, 1)
(37, 10, 1, 1)
(38, 10, 1, 1)
(39, 10, 1, 1)
(40, 10, 1, 1)
(41, 10, 1, 1)
(42, 10, 1, 1)
(43, 10, 1, 1)
(44, 10, 1, 1)
(45, 10, 1, 1)
(46, 10, 1, 1)
(47, 10, 1, 1)
(48, 10, 1, 1)
(49, 10, 1, 1)
(50, 10, 1, 1)
(51, 10, 1, 1)
